result	step	time	summary	log
PASS	adaptive_transport  pub get	2s	see log	tools/suite-logs/20260819T123741Z/adaptive_transport.pubget.log
PASS	adaptive_transport  analyze	3s	No issues found!	tools/suite-logs/20260819T123741Z/adaptive_transport.analyze.log
PASS	adaptive_transport  test	43s	All tests passed!	tools/suite-logs/20260819T123741Z/adaptive_transport.test.log
PASS	broadcast_media  pub get	2s	see log	tools/suite-logs/20260819T123741Z/broadcast_media.pubget.log
PASS	broadcast_media  analyze	2s	No issues found!	tools/suite-logs/20260819T123741Z/broadcast_media.analyze.log
PASS	broadcast_media  test	7s	All tests passed!	tools/suite-logs/20260819T123741Z/broadcast_media.test.log
PASS	broadcast  pub get	2s	see log	tools/suite-logs/20260819T123741Z/broadcast.pubget.log
PASS	broadcast  analyze	2s	No issues found!	tools/suite-logs/20260819T123741Z/broadcast.analyze.log
PASS	broadcast  test	13s	All tests passed!	tools/suite-logs/20260819T123741Z/broadcast.test.log
PASS	call_core  pub get	2s	see log	tools/suite-logs/20260819T123741Z/call_core.pubget.log
PASS	call_core  analyze	3s	No issues found!	tools/suite-logs/20260819T123741Z/call_core.analyze.log
PASS	call_core  test	5s	All tests passed!	tools/suite-logs/20260819T123741Z/call_core.test.log
PASS	call_media_adapter  pub get	2s	see log	tools/suite-logs/20260819T123741Z/call_media_adapter.pubget.log
PASS	call_media_adapter  analyze	2s	No issues found!	tools/suite-logs/20260819T123741Z/call_media_adapter.analyze.log
PASS	call_media_adapter  test	3s	All tests passed!	tools/suite-logs/20260819T123741Z/call_media_adapter.test.log
PASS	call_signaling_adapter  pub get	2s	see log	tools/suite-logs/20260819T123741Z/call_signaling_adapter.pubget.log
PASS	call_signaling_adapter  analyze	2s	No issues found!	tools/suite-logs/20260819T123741Z/call_signaling_adapter.analyze.log
PASS	call_signaling_adapter  test	4s	All tests passed!	tools/suite-logs/20260819T123741Z/call_signaling_adapter.test.log
PASS	connection_orchestrator  pub get	2s	see log	tools/suite-logs/20260819T123741Z/connection_orchestrator.pubget.log
PASS	connection_orchestrator  analyze	3s	No issues found!	tools/suite-logs/20260819T123741Z/connection_orchestrator.analyze.log
PASS	connection_orchestrator  test	123s	All tests passed!	tools/suite-logs/20260819T123741Z/connection_orchestrator.test.log
PASS	device_link  pub get	3s	see log	tools/suite-logs/20260819T123741Z/device_link.pubget.log
PASS	device_link  analyze	3s	No issues found!	tools/suite-logs/20260819T123741Z/device_link.analyze.log
PASS	device_link  test	17s	All tests passed!	tools/suite-logs/20260819T123741Z/device_link.test.log
PASS	hamseda_codec  pub get	2s	see log	tools/suite-logs/20260819T123741Z/hamseda_codec.pubget.log
PASS	hamseda_codec  analyze	3s	No issues found!	tools/suite-logs/20260819T123741Z/hamseda_codec.analyze.log
PASS	hamseda_codec  test	5s	All tests passed!	tools/suite-logs/20260819T123741Z/hamseda_codec.test.log
PASS	live_captions  pub get	2s	see log	tools/suite-logs/20260819T123741Z/live_captions.pubget.log
PASS	live_captions  analyze	3s	No issues found!	tools/suite-logs/20260819T123741Z/live_captions.analyze.log
PASS	live_captions  test	4s	All tests passed!	tools/suite-logs/20260819T123741Z/live_captions.test.log
PASS	media_webrtc_flutter  pub get	4s	see log	tools/suite-logs/20260819T123741Z/media_webrtc_flutter.pubget.log
PASS	media_webrtc_flutter  analyze	7s	No issues found!	tools/suite-logs/20260819T123741Z/media_webrtc_flutter.analyze.log
PASS	media_webrtc_flutter  test	12s	All tests passed!	tools/suite-logs/20260819T123741Z/media_webrtc_flutter.test.log
PASS	media_webrtc  pub get	2s	see log	tools/suite-logs/20260819T123741Z/media_webrtc.pubget.log
PASS	media_webrtc  analyze	2s	No issues found!	tools/suite-logs/20260819T123741Z/media_webrtc.analyze.log
PASS	media_webrtc  test	6s	All tests passed!	tools/suite-logs/20260819T123741Z/media_webrtc.test.log
PASS	messaging_webrtc_adapter  pub get	2s	see log	tools/suite-logs/20260819T123741Z/messaging_webrtc_adapter.pubget.log
PASS	messaging_webrtc_adapter  analyze	3s	No issues found!	tools/suite-logs/20260819T123741Z/messaging_webrtc_adapter.analyze.log
PASS	messaging_webrtc_adapter  test	4s	All tests passed!	tools/suite-logs/20260819T123741Z/messaging_webrtc_adapter.test.log
PASS	messaging  pub get	2s	see log	tools/suite-logs/20260819T123741Z/messaging.pubget.log
PASS	messaging  analyze	3s	No issues found!	tools/suite-logs/20260819T123741Z/messaging.analyze.log
PASS	messaging  test	40s	All tests passed!	tools/suite-logs/20260819T123741Z/messaging.test.log
PASS	native_transport  pub get	2s	see log	tools/suite-logs/20260819T123741Z/native_transport.pubget.log
PASS	native_transport  analyze	3s	No issues found!	tools/suite-logs/20260819T123741Z/native_transport.analyze.log
PASS	native_transport  test	5s	All tests passed!	tools/suite-logs/20260819T123741Z/native_transport.test.log
PASS	on_device_assistant  pub get	2s	see log	tools/suite-logs/20260819T123741Z/on_device_assistant.pubget.log
PASS	on_device_assistant  analyze	3s	No issues found!	tools/suite-logs/20260819T123741Z/on_device_assistant.analyze.log
PASS	on_device_assistant  test	4s	All tests passed!	tools/suite-logs/20260819T123741Z/on_device_assistant.test.log
PASS	privacy_telemetry  pub get	2s	see log	tools/suite-logs/20260819T123741Z/privacy_telemetry.pubget.log
PASS	privacy_telemetry  analyze	3s	No issues found!	tools/suite-logs/20260819T123741Z/privacy_telemetry.analyze.log
PASS	privacy_telemetry  test	3s	All tests passed!	tools/suite-logs/20260819T123741Z/privacy_telemetry.test.log
PASS	pt_transport_darwin  pub get	2s	see log	tools/suite-logs/20260819T123741Z/pt_transport_darwin.pubget.log
PASS	pt_transport_darwin  analyze	4s	No issues found!	tools/suite-logs/20260819T123741Z/pt_transport_darwin.analyze.log
PASS	quality_governor  pub get	2s	see log	tools/suite-logs/20260819T123741Z/quality_governor.pubget.log
PASS	quality_governor  analyze	3s	No issues found!	tools/suite-logs/20260819T123741Z/quality_governor.analyze.log
PASS	quality_governor  test	3s	All tests passed!	tools/suite-logs/20260819T123741Z/quality_governor.test.log
PASS	security_keychain  pub get	4s	see log	tools/suite-logs/20260819T123741Z/security_keychain.pubget.log
PASS	security_keychain  analyze	7s	No issues found!	tools/suite-logs/20260819T123741Z/security_keychain.analyze.log
PASS	security_keychain  test	9s	All tests passed!	tools/suite-logs/20260819T123741Z/security_keychain.test.log
PASS	security  pub get	2s	see log	tools/suite-logs/20260819T123741Z/security.pubget.log
PASS	security  analyze	3s	No issues found!	tools/suite-logs/20260819T123741Z/security.analyze.log
PASS	security  test	5s	All tests passed!	tools/suite-logs/20260819T123741Z/security.test.log
PASS	seed_lineage  pub get	2s	see log	tools/suite-logs/20260819T123741Z/seed_lineage.pubget.log
PASS	seed_lineage  analyze	3s	No issues found!	tools/suite-logs/20260819T123741Z/seed_lineage.analyze.log
PASS	seed_lineage  test	4s	All tests passed!	tools/suite-logs/20260819T123741Z/seed_lineage.test.log
PASS	signaling  pub get	2s	see log	tools/suite-logs/20260819T123741Z/signaling.pubget.log
PASS	signaling  analyze	3s	No issues found!	tools/suite-logs/20260819T123741Z/signaling.analyze.log
PASS	signaling  test	4s	All tests passed!	tools/suite-logs/20260819T123741Z/signaling.test.log
PASS	signed_config  pub get	2s	see log	tools/suite-logs/20260819T123741Z/signed_config.pubget.log
PASS	signed_config  analyze	3s	No issues found!	tools/suite-logs/20260819T123741Z/signed_config.analyze.log
