size_bytes,direction,delta_us
1400,tx,0
350,rx,36015
120,tx,6988
200,rx,18220
200,tx,24664
64,rx,38975
90,tx,11202
1400,rx,29409
120,tx,35902
350,rx,36038
600,tx,16453
200,rx,9407
90,tx,21279
200,rx,35813
200,tx,2707
900,rx,36726
900,tx,3127
120,rx,5169
1200,tx,18260
64,rx,23556
1200,tx,25276
900,rx,20819
90,tx,25259
1200,rx,3389
120,tx,23164
1200,rx,15569
1400,tx,37618
90,rx,2657
120,tx,6897
350,rx,13865
120,tx,28807
600,rx,1553
600,tx,12004
350,rx,33762
1400,tx,20564
1400,rx,28109
1200,tx,15711
1200,rx,24843
120,tx,33351
120,rx,31930
900,tx,24633
120,rx,11098
200,tx,28955
120,rx,16069
90,tx,5035
900,rx,1073
350,tx,34711
900,rx,25459
64,tx,35334
200,rx,10592
600,tx,19125
200,rx,17959
120,tx,30613
1200,rx,21437
1400,tx,27409
90,rx,7151
1200,tx,25360
900,rx,23634
900,tx,32144
1200,rx,33929
120,tx,3791
200,rx,15434
90,tx,20246
350,rx,24736
1400,tx,25060
900,rx,31996
1400,tx,25192
1400,rx,16145
120,tx,2707
600,rx,31087
900,tx,13608
1200,rx,16852
1400,tx,20046
350,rx,36608
350,tx,38968
120,rx,23680
900,tx,10014
600,rx,8813
1200,tx,5402
1200,rx,9640
1200,tx,3392
350,rx,2855
900,tx,22898
1200,rx,22087
1400,tx,29487
120,rx,39043
120,tx,14311
1200,rx,3209
600,tx,28848
350,rx,17231
64,tx,20446
64,rx,39671
900,tx,20599
200,rx,7109
600,tx,29627
1400,rx,10380
90,tx,23559
350,rx,16921
64,tx,4580
64,rx,16844
1400,tx,26678
90,rx,34835
90,tx,24351
600,rx,20832
900,tx,26348
600,rx,27824
1400,tx,18813
200,rx,34085
900,tx,9777
64,rx,39805
90,tx,1261
600,rx,21708
1400,tx,17155
90,rx,30561
90,tx,28379
90,rx,8057
350,tx,18773
350,rx,6353
1400,tx,27327
600,rx,2952
200,tx,37936
1200,rx,26413
600,tx,14665
90,rx,20415
1200,tx,22519
600,rx,12107
64,tx,23521
1200,rx,16108
600,tx,16743
1400,rx,30386
90,tx,29510
64,rx,22450
350,tx,27162
120,rx,14208
200,tx,4462
200,rx,30565
600,tx,1114
1400,rx,19829
600,tx,5291
1200,rx,790
64,tx,3700
1400,rx,28289
1400,tx,13090
90,rx,27288
90,tx,24264
1200,rx,37435
600,tx,24939
350,rx,21735
900,tx,2381
90,rx,31849
200,tx,19638
200,rx,38121
900,tx,26176
120,rx,18878
200,tx,3550
900,rx,10829
64,tx,12415
1200,rx,27474
350,tx,3422
1200,rx,28510
600,tx,23729
350,rx,3597
64,tx,15842
1400,rx,26615
1400,tx,31990
1400,rx,7844
200,tx,16750
600,rx,9371
120,tx,31696
200,rx,35345
200,tx,17279
1200,rx,13010
64,tx,23548
64,rx,39490
120,tx,36011
1200,rx,35768
1200,tx,5072
600,rx,2203
900,tx,13519
120,rx,3949
64,tx,24562
350,rx,3180
1400,tx,15341
90,rx,35041
900,tx,23141
900,rx,12939
350,tx,11221
600,rx,10319
900,tx,6826
350,rx,6518
120,tx,22861
120,rx,36103
120,tx,5414
1400,rx,6467
1200,tx,2594
600,rx,1490
90,tx,3824
600,rx,18523
200,tx,31037
600,rx,20050
200,tx,28025
1200,rx,1400
900,tx,6867
900,rx,39453
120,tx,6833
1200,rx,23432
1200,tx,32193
600,rx,26552
120,tx,26587
1200,rx,32346
1400,tx,6265
1200,rx,37552
1400,tx,16817
120,rx,26737
350,tx,4478
350,rx,27882
350,tx,21060
64,rx,35669
64,tx,27100
200,rx,17057
350,tx,34792
1200,rx,7760
90,tx,5843
900,rx,26734
1200,tx,26163
900,rx,28836
200,tx,23587
1400,rx,1215
1200,tx,36811
600,rx,607
1400,tx,27764
120,rx,27219
1200,tx,22209
900,rx,3579
600,tx,17364
900,rx,24200
1200,tx,18451
1400,rx,13920
1200,tx,34915
350,rx,9305
1400,tx,1268
350,rx,16658
900,tx,18841
600,rx,30015
200,tx,34792
120,rx,28588
200,tx,34657
64,rx,27725
200,tx,12006
120,rx,16536
200,tx,25220
1400,rx,19792
64,tx,36515
64,rx,9061
90,tx,2331
600,rx,19025
600,tx,16789
64,rx,5292
200,tx,11132
1400,rx,39650
1400,tx,33477
1200,rx,39802
1400,tx,20333
350,rx,14775
90,tx,5526
90,rx,23300
1200,tx,15155
120,rx,12250
120,tx,34423
350,rx,12264
200,tx,9529
90,rx,15512
600,tx,18992
64,rx,37275
64,tx,16599
90,rx,20085
1400,tx,3235
64,rx,4417
350,tx,35986
90,rx,4953
900,tx,17870
90,rx,9536
1200,tx,4056
120,rx,13511
200,tx,23669
200,rx,1057
120,tx,12556
900,rx,27373
120,tx,24754
200,rx,26079
600,tx,19934
64,rx,20821
900,tx,12471
900,rx,7099
900,tx,21424
350,rx,10850
600,tx,15969
90,rx,15137
1200,tx,2060
90,rx,10126
200,tx,29830
600,rx,14647
900,tx,12524
1200,rx,25585
900,tx,9705
1400,rx,26387
600,tx,6392
120,rx,13666
1400,tx,24938
350,rx,9812
64,tx,12859
900,rx,6876
600,tx,15235
350,rx,18648
900,tx,666
90,rx,6733
1400,tx,14184
1200,rx,28178
1200,tx,11325
120,rx,22968
200,tx,17391
200,rx,12463
90,tx,24014
600,rx,13007
350,tx,25468
90,rx,32353
200,tx,16594
200,rx,31887
600,tx,11447
350,rx,17089
350,tx,5023
1400,rx,3730
1200,tx,27465
900,rx,2343
350,tx,33803
200,rx,16514
120,tx,8262
64,rx,20556
64,tx,35808
90,rx,755
90,tx,5595
200,rx,17931
64,tx,22501
64,rx,21697
64,tx,7565
900,rx,25854
64,tx,29116
120,rx,20689
1200,tx,17343
1400,rx,4102
90,tx,26999
1200,rx,25550
90,tx,24769
900,rx,11538
1400,tx,29676
600,rx,23071
1400,tx,39344
90,rx,23754
64,tx,2128
1200,rx,3685
350,tx,7258
600,rx,6638
64,tx,5336
900,rx,31184
64,tx,29829
64,rx,20589
350,tx,3096
200,rx,18393
120,tx,2011
350,rx,2547
64,tx,17176
120,rx,12999
1400,tx,8815
600,rx,35867
200,tx,17783
350,rx,847
900,tx,8086
90,rx,36287
1200,tx,29972
120,rx,39055
350,tx,24108
120,rx,16977
900,tx,12164
600,rx,29402
120,tx,38760
200,rx,16946
1400,tx,16384
1400,rx,14232
1200,tx,11089
1400,rx,33678
90,tx,29957
90,rx,17811
120,tx,19102
64,rx,39260
1200,tx,4815
64,rx,3512
900,tx,9318
600,rx,34232
120,tx,27454
120,rx,2461
