packet	frames	payload_B	tag_B	udp_ip_B	wire_B
0	25	57	2	28	87
1	25	57	2	28	87
2	25	57	2	28	87
3	25	57	2	28	87
4	25	57	2	28	87
5	25	57	2	28	87
6	25	57	2	28	87
7	25	57	2	28	87
8	25	57	2	28	87
9	25	57	2	28	87
10	25	57	2	28	87
11	25	57	2	28	87
12	25	57	2	28	87
13	25	57	2	28	87
14	25	57	2	28	87
15	25	57	2	28	87
16	25	57	2	28	87
17	25	57	2	28	87
18	25	57	2	28	87
19	25	57	2	28	87
20	25	57	2	28	87
21	25	57	2	28	87
22	25	57	2	28	87
23	25	57	2	28	87
24	25	57	2	28	87
25	25	57	2	28	87
26	25	57	2	28	87
27	25	57	2	28	87
28	25	57	2	28	87
29	25	57	2	28	87
30	25	57	2	28	87
31	25	57	2	28	87
32	25	57	2	28	87
33	25	57	2	28	87
34	25	57	2	28	87
35	25	57	2	28	87
36	25	57	2	28	87
37	25	57	2	28	87
38	25	57	2	28	87
39	25	57	2	28	87
40	25	57	2	28	87
41	25	57	2	28	87
42	25	57	2	28	87
43	25	57	2	28	87
44	25	57	2	28	87
45	25	57	2	28	87
46	25	57	2	28	87
47	25	57	2	28	87
48	25	57	2	28	87
49	25	57	2	28	87
50	25	57	2	28	87
51	25	57	2	28	87
52	25	57	2	28	87
53	25	57	2	28	87
54	25	57	2	28	87
55	25	57	2	28	87
56	25	57	2	28	87
57	25	57	2	28	87
58	25	57	2	28	87
59	25	57	2	28	87
# total_wire=5220B window=60.0s bps=696.0
# loss=0.6 seeds=53..252 mean_decoded_ratio=0.401 min=0.233 max=0.550 (blocky per-packet loss: one 4s bundle = 100 frames live or die together)
