id	raw_bytes	wire_bytes	roundtrip
0	79	33	ok
1	2	6	ok
2	13	17	ok
3	35	29	ok
4	87	30	ok
5	52	30	ok
6	47	29	ok
7	24	26	ok
8	17	21	ok
9	72	31	ok
10	19	23	ok
11	7	11	ok
12	271	41	ok
13	90	37	ok
14	171	33	ok
15	65	29	ok
16	65	31	ok
17	15	19	ok
18	89	31	ok
19	7	11	ok
20	34	26	ok
21	197	37	ok
22	34	26	ok
23	52	30	ok
24	13	17	ok
25	22	26	ok
26	39	30	ok
27	56	30	ok
28	30	26	ok
29	3	7	ok
30	171	33	ok
31	2	6	ok
32	15	19	ok
33	80	30	ok
34	108	33	ok
35	21	25	ok
36	171	33	ok
37	12	16	ok
38	12	16	ok
39	10	14	ok
40	4	8	ok
41	273	43	ok
42	197	37	ok
43	13	17	ok
44	51	29	ok
45	31	26	ok
46	108	33	ok
47	282	40	ok
48	13	17	ok
49	266	40	ok
50	8	12	ok
51	49	30	ok
52	15	19	ok
53	10	14	ok
54	22	26	ok
55	60	29	ok
56	70	31	ok
57	108	33	ok
58	13	17	ok
59	7	11	ok
60	176	35	ok
61	7	11	ok
62	22	26	ok
63	9	13	ok
64	16	20	ok
65	60	29	ok
66	4	8	ok
67	57	30	ok
68	7	11	ok
69	8	12	ok
70	20	24	ok
71	13	17	ok
72	96	29	ok
73	108	33	ok
74	73	33	ok
75	12	16	ok
76	171	33	ok
77	57	29	ok
78	171	33	ok
79	13	17	ok
80	19	23	ok
81	10	14	ok
82	20	24	ok
83	17	21	ok
84	6	10	ok
85	273	42	ok
86	280	44	ok
87	280	44	ok
88	71	31	ok
89	115	36	ok
90	15	19	ok
91	12	16	ok
92	202	37	ok
93	10	14	ok
94	3	7	ok
95	9	13	ok
96	272	40	ok
97	18	22	ok
98	65	30	ok
99	18	22	ok
100	2	6	ok
101	101	30	ok
102	273	40	ok
103	52	30	ok
104	65	30	ok
105	89	33	ok
106	113	33	ok
107	47	29	ok
108	277	42	ok
109	63	32	ok
110	20	24	ok
111	13	17	ok
112	52	29	ok
113	279	42	ok
114	8	12	ok
115	3	7	ok
116	34	26	ok
117	270	40	ok
118	7	11	ok
119	271	43	ok
120	7	11	ok
121	39	30	ok
122	266	41	ok
123	202	37	ok
124	7	11	ok
125	24	28	ok
126	21	25	ok
127	275	42	ok
128	176	35	ok
129	2	6	ok
130	176	35	ok
131	64	29	ok
132	8	12	ok
133	10	14	ok
134	19	23	ok
135	15	19	ok
136	103	32	ok
137	47	29	ok
138	28	29	ok
139	101	32	ok
140	4	8	ok
141	20	24	ok
142	50	29	ok
143	9	13	ok
144	58	30	ok
145	71	32	ok
146	10	14	ok
147	36	26	ok
148	24	28	ok
149	20	24	ok
150	176	35	ok
151	53	30	ok
152	18	22	ok
153	2	6	ok
154	275	40	ok
155	15	19	ok
156	90	32	ok
157	3	7	ok
158	9	13	ok
159	24	28	ok
160	15	19	ok
161	34	26	ok
162	12	16	ok
163	50	29	ok
164	3	7	ok
165	17	21	ok
166	65	29	ok
167	73	33	ok
168	46	28	ok
169	51	30	ok
170	197	37	ok
171	9	13	ok
172	58	30	ok
173	18	22	ok
174	9	13	ok
175	12	16	ok
176	22	26	ok
177	176	35	ok
178	65	31	ok
179	51	30	ok
180	204	37	ok
181	11	15	ok
182	34	26	ok
183	171	33	ok
184	94	33	ok
185	50	29	ok
186	12	16	ok
187	280	42	ok
188	284	42	ok
189	13	17	ok
190	171	33	ok
191	14	18	ok
192	96	35	ok
193	54	30	ok
194	51	29	ok
195	79	33	ok
196	176	35	ok
197	113	33	ok
198	12	16	ok
199	113	34	ok
